kernel,sigma,scenario,sample_size,power,method
rbf,0.1,1D-small,100,0.09,fixed
rbf,0.1,1D-large,100,0.98,fixed
rbf,0.1,HD-small,100,0.03,fixed
rbf,0.1,HD-large,100,0.0,fixed
rbf,0.1,Cov-small,100,0.02,fixed
rbf,0.1,Cov-large,100,0.25,fixed
rbf,0.1,Mix-small,100,0.26,fixed
rbf,0.1,Mix-large,100,1.0,fixed
rbf,0.5,1D-small,100,0.15,fixed
rbf,0.5,1D-large,100,1.0,fixed
rbf,0.5,HD-small,100,0.04,fixed
rbf,0.5,HD-large,100,0.95,fixed
rbf,0.5,Cov-small,100,0.11,fixed
rbf,0.5,Cov-large,100,0.62,fixed
rbf,0.5,Mix-small,100,0.56,fixed
rbf,0.5,Mix-large,100,1.0,fixed
rbf,1.0,1D-small,100,0.27,fixed
rbf,1.0,1D-large,100,1.0,fixed
rbf,1.0,HD-small,100,0.26,fixed
rbf,1.0,HD-large,100,1.0,fixed
rbf,1.0,Cov-small,100,0.3,fixed
rbf,1.0,Cov-large,100,1.0,fixed
rbf,1.0,Mix-small,100,0.55,fixed
rbf,1.0,Mix-large,100,1.0,fixed
rbf,2.0,1D-small,100,0.25,fixed
rbf,2.0,1D-large,100,1.0,fixed
rbf,2.0,HD-small,100,0.71,fixed
rbf,2.0,HD-large,100,1.0,fixed
rbf,2.0,Cov-small,100,0.57,fixed
rbf,2.0,Cov-large,100,1.0,fixed
rbf,2.0,Mix-small,100,0.32,fixed
rbf,2.0,Mix-large,100,1.0,fixed
rbf,5.0,1D-small,100,0.3,fixed
rbf,5.0,1D-large,100,1.0,fixed
rbf,5.0,HD-small,100,0.87,fixed
rbf,5.0,HD-large,100,1.0,fixed
rbf,5.0,Cov-small,100,0.11,fixed
rbf,5.0,Cov-large,100,1.0,fixed
rbf,5.0,Mix-small,100,0.0,fixed
rbf,5.0,Mix-large,100,0.99,fixed
rbf,median,1D-small,100,0.25,fixed
rbf,median,1D-large,100,1.0,fixed
rbf,median,HD-small,100,0.73,fixed
rbf,median,HD-large,100,1.0,fixed
rbf,median,Cov-small,100,0.19,fixed
rbf,median,Cov-large,100,1.0,fixed
rbf,median,Mix-small,100,0.41,fixed
rbf,median,Mix-large,100,1.0,fixed
