kernel,scenario,sample_size,power
linear,1D-small,100,0.41
linear,1D-large,100,1.0
linear,HD-small,100,0.92
linear,HD-large,100,1.0
linear,Cov-small,100,0.06
linear,Cov-large,100,0.05
linear,Mix-small,100,0.01
linear,Mix-large,100,0.0
polynomial,1D-small,100,0.12
polynomial,1D-large,100,1.0
polynomial,HD-small,100,0.8
polynomial,HD-large,100,1.0
polynomial,Cov-small,100,0.06
polynomial,Cov-large,100,0.59
polynomial,Mix-small,100,0.1
polynomial,Mix-large,100,1.0
rbf,1D-small,100,0.17
rbf,1D-large,100,1.0
rbf,HD-small,100,0.34
rbf,HD-large,100,1.0
rbf,Cov-small,100,0.36
rbf,Cov-large,100,1.0
rbf,Mix-small,100,0.62
rbf,Mix-large,100,1.0
cosine,1D-small,100,0.16
cosine,1D-large,100,1.0
cosine,HD-small,100,0.85
cosine,HD-large,100,1.0
cosine,Cov-small,100,0.1
cosine,Cov-large,100,0.03
cosine,Mix-small,100,0.0
cosine,Mix-large,100,0.0
sigmoid,1D-small,100,0.2
sigmoid,1D-large,100,1.0
sigmoid,HD-small,100,0.89
sigmoid,HD-large,100,1.0
sigmoid,Cov-small,100,0.02
sigmoid,Cov-large,100,0.05
sigmoid,Mix-small,100,0.01
sigmoid,Mix-large,100,0.0
